0,900
0.001,899.964
0.002,899.928
0.003,899.892
0.004,899.856
0.005,899.82
0.006,899.784
0.007,899.748
0.008,899.713
0.009,899.677
0.01,899.641
0.011,899.605
0.012,899.57
0.013,899.534
0.014,899.499
0.015,899.463
0.016,899.428
0.017,899.393
0.018,899.358
0.019,899.323
0.02,899.288
0.021,899.253
0.022,899.219
0.023,899.184
0.024,899.15
0.025,899.115
0.026,899.081
0.027,899.047
0.028,899.013
0.029,898.98
0.03,898.946
0.031,898.913
0.032,898.88
0.033,898.847
0.034,898.814
0.035,898.782
0.036,898.749
0.037,898.717
0.038,898.685
0.039,898.653
0.04,898.622
0.041,898.59
0.042,898.559
0.043,898.528
0.044,898.498
0.045,898.467
0.046,898.437
0.047,898.407
0.048,898.378
0.049,898.348
0.05,898.319
0.051,898.291
0.052,898.262
0.053,898.234
0.054,898.206
0.055,898.178
0.056,898.151
0.057,898.123
0.058,898.097
0.059,898.07
0.06,898.044
0.061,898.018
0.062,897.992
0.063,897.967
0.064,897.942
0.065,897.918
0.066,897.893
0.067,897.87
0.068,897.846
0.069,897.823
0.07,897.8
0.071,897.777
0.072,897.755
0.073,897.733
0.074,897.712
0.075,897.691
0.076,897.67
0.077,897.65
0.078,897.63
0.079,897.61
0.08,897.591
0.081,897.572
0.082,897.554
0.083,897.536
0.084,897.518
0.085,897.501
0.086,897.484
0.087,897.468
0.088,897.452
0.089,897.436
0.09,897.421
0.091,897.406
0.092,897.392
0.093,897.378
0.094,897.364
0.095,897.351
0.096,897.339
0.097,897.326
0.098,897.315
0.099,897.303
0.1,897.292
0.101,897.282
0.102,897.272
0.103,897.262
0.104,897.253
0.105,897.244
0.106,897.236
0.107,897.228
0.108,897.221
0.109,897.214
0.11,897.207
0.111,897.201
0.112,897.195
0.113,897.19
0.114,897.185
0.115,897.181
0.116,897.177
0.117,897.174
0.118,897.171
0.119,897.168
0.12,897.166
0.121,897.165
0.122,897.164
0.123,897.163
0.124,897.163
0.125,897.163
0.126,897.164
0.127,897.165
0.128,897.167
0.129,897.169
0.13,897.171
0.131,897.174
0.132,897.178
0.133,897.182
0.134,897.186
0.135,897.191
0.136,897.196
0.137,897.202
0.138,897.208
0.139,897.214
0.14,897.222
0.141,897.229
0.142,897.237
0.143,897.245
0.144,897.254
0.145,897.263
0.146,897.273
0.147,897.283
0.148,897.294
0.149,897.305
0.15,897.316
0.151,897.328
0.152,897.34
0.153,897.353
0.154,897.366
0.155,897.38
0.156,897.394
0.157,897.408
0.158,897.423
0.159,897.438
0.16,897.454
0.161,897.47
0.162,897.487
0.163,897.503
0.164,897.521
0.165,897.538
0.166,897.556
0.167,897.575
0.168,897.594
0.169,897.613
0.17,897.633
0.171,897.653
0.172,897.673
0.173,897.694
0.174,897.715
0.175,897.736
0.176,897.758
0.177,897.78
0.178,897.803
0.179,897.826
0.18,897.849
0.181,897.873
0.182,897.897
0.183,897.921
0.184,897.946
0.185,897.971
0.186,897.996
0.187,898.022
0.188,898.047
0.189,898.074
0.19,898.1
0.191,898.127
0.192,898.154
0.193,898.182
0.194,898.209
0.195,898.238
0.196,898.266
0.197,898.294
0.198,898.323
0.199,898.352
0.2,898.382
0.201,898.411
0.202,898.441
0.203,898.472
0.204,898.502
0.205,898.533
0.206,898.564
0.207,898.595
0.208,898.626
0.209,898.658
0.21,898.689
0.211,898.721
0.212,898.754
0.213,898.786
0.214,898.819
0.215,898.851
0.216,898.884
0.217,898.918
0.218,898.951
0.219,898.984
0.22,899.018
0.221,899.052
0.222,899.086
0.223,899.12
0.224,899.154
0.225,899.189
0.226,899.223
0.227,899.258
0.228,899.293
0.229,899.328
0.23,899.363
0.231,899.398
0.232,899.433
0.233,899.468
0.234,899.504
0.235,899.539
0.236,899.575
0.237,899.61
0.238,899.646
0.239,899.682
0.24,899.717
0.241,899.753
0.242,899.789
0.243,899.825
0.244,899.861
0.245,899.897
0.246,899.933
0.247,899.969
0.248,900.005
0.249,900.041
0.25,900.077
0.251,900.113
0.252,900.149
0.253,900.185
0.254,900.221
0.255,900.257
0.256,900.292
0.257,900.328
0.258,900.364
0.259,900.4
0.26,900.435
0.261,900.471
0.262,900.506
0.263,900.542
0.264,900.577
0.265,900.612
0.266,900.647
0.267,900.682
0.268,900.717
0.269,900.752
0.27,900.787
0.271,900.821
0.272,900.856
0.273,900.89
0.274,900.924
0.275,900.958
0.276,900.992
0.277,901.026
0.278,901.059
0.279,901.093
0.28,901.126
0.281,901.159
0.282,901.192
0.283,901.225
0.284,901.257
0.285,901.289
0.286,901.321
0.287,901.353
0.288,901.385
0.289,901.416
0.29,901.447
0.291,901.478
0.292,901.509
0.293,901.539
0.294,901.57
0.295,901.6
0.296,901.629
0.297,901.659
0.298,901.688
0.299,901.717
0.3,901.746
0.301,901.774
0.302,901.802
0.303,901.83
0.304,901.857
0.305,901.885
0.306,901.912
0.307,901.938
0.308,901.965
0.309,901.991
0.31,902.016
0.311,902.042
0.312,902.067
0.313,902.091
0.314,902.116
0.315,902.14
0.316,902.163
0.317,902.187
0.318,902.21
0.319,902.232
0.32,902.255
0.321,902.277
0.322,902.298
0.323,902.319
0.324,902.34
0.325,902.361
0.326,902.381
0.327,902.401
0.328,902.42
0.329,902.439
0.33,902.457
0.331,902.476
0.332,902.493
0.333,902.511
0.334,902.528
0.335,902.544
0.336,902.56
0.337,902.576
0.338,902.591
0.339,902.606
0.34,902.621
0.341,902.635
0.342,902.649
0.343,902.662
0.344,902.675
0.345,902.687
0.346,902.699
0.347,902.711
0.348,902.722
0.349,902.732
